,name,gender,country_code,discipline,function,url,Age
70,COMMENS Adam,Male,BEL,Hockey,Coach,../../../en/results/hockey/athlete-profile-n1393511-commens-adam.htm,48
71,COURTEIX David,Male,FRA,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1400664-courteix-david.htm,52
72,CRUZ Filipe,Male,ANG,Handball,Coach,../../../en/results/handball/athlete-profile-n1457736-cruz-filipe.htm,54
73,DAL ZOTTO Renan,Male,BRA,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1353959-dal-zotto-renan.htm,63
74,DANCER Sean,Male,IRL,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1282059-dancer-sean.htm,48
75,DANCHENKO Tatiana,Female,ROC,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1431711-danchenko-tatiana.htm,52
76,DAVY Jeremy,Male,AUS,Hockey,Coach,../../../en/results/hockey/athlete-profile-n1483176-davy-jeremy.htm,50
77,DAZA Fabian,Male,CHI,Football,Head Coach,../../../en/results/football/athlete-profile-n1335551-daza-fabian.htm,29
78,de ARMAS JR Rolando,Male,USA,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1461098-de-armas-jr-rolando.htm,72
79,de la FUENTE CASTILLO Luis,Male,ESP,Football,Head Coach,../../../en/results/football/athlete-profile-n1328154-de-la-fuente-castillo-luis.htm,62
80,de MOURA Luizomar,Male,KEN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1459297-de-moura-luizomar.htm,58
81,de OLIVEIRA Marcus Ricardo,Male,BRA,Handball,Coach,../../../en/results/handball/athlete-profile-n1335882-de-oliveira-marcus-ricardo.htm,44
82,de VOS Robbert-Jan,Male,NED,Hockey,Coach,../../../en/results/hockey/athlete-profile-n1466841-de-vos-robbert-jan.htm,44
83,DELANEY Mike,Male,NZL,Hockey,Coach,../../../en/results/hockey/athlete-profile-n1473558-delaney-mike.htm,35
84,DEMCHENKO Zhanna,Female,KAZ,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1305511-demchenko-zhanna.htm,54
85,DIAZ FERNANDEZ Jenaro Manuel,Male,ESP,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1322499-diaz-fernandez-jenaro-manuel.htm,53
86,DIAZ HENRIQUEZ Nestor,Male,DOM,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1468585-diaz-henriquez-nestor.htm,47
87,DOBSON Howard,Male,USA,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1310160-dobson-howard.htm,51
88,DROBNJAK Dragisa,Male,SLO,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1725711-drobnjak-dragisa.htm,46
89,DUENAS de GALARZA Jorge,Male,BRA,Handball,Coach,../../../en/results/handball/athlete-profile-n1335877-duenas-de-galarza-jorge.htm,61
90,DURO Fernando,Male,VEN,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1418899-duro-fernando.htm,63
91,DYKSTRA Trisha,Female,AUS,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1328300-dykstra-trisha.htm,51
92,ECHEZURIA Manuel,Male,VEN,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1451623-echezuria-manuel.htm,26
93,EDDY Anthony,Male,IRL,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1305508-eddy-anthony.htm,58
94,EITOKU Atsushi,Male,JPN,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1315874-eitoku-atsushi.htm,37
95,ELAFANDI Nour,Female,EGY,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1361507-elafandi-nour.htm,31
96,ELAFANDI Nour,Female,EGY,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1361507-elafandi-nour.htm,31
97,ELEK Gabor,Male,HUN,Handball,Coach,../../../en/results/handball/athlete-profile-n1309796-elek-gabor.htm,53
98,ENGELLAND Chip,Male,USA,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1742113-engelland-chip.htm,63
99,ENQUIST Susan,Female,USA,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1461070-enquist-susan.htm,66
100,ERIKSEN Ken,Male,USA,Baseball/Softball,Head Coach,../../../en/results/baseball-softball/athlete-profile-n1310197-eriksen-ken.htm,63
101,ESTRADA Hector,Male,MEX,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1311216-estrada-hector.htm,55
102,EWING Gareth,Male,RSA,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1309583-ewing-gareth.htm,50
103,FABRE Julie,Female,FRA,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1334710-fabre-julie.htm,47
104,FALERO Miguel,Male,HON,Football,Head Coach,../../../en/results/football/athlete-profile-n1361933-falero-miguel.htm,67
105,FARINELLI Roberta,Female,ITA,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1310729-farinelli-roberta.htm,54
106,FARINELLI Roberta,Female,ITA,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1310729-farinelli-roberta.htm,54
107,FATOVIC Elvis,Male,AUS,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1483221-fatovic-elvis.htm,53
108,FAVAREL Pablo,Male,VEN,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1418935-favarel-pablo.htm,40
109,FENSTER Darren,Male,USA,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1460632-fenster-darren.htm,45
110,FERRARO Hernan ,Male,ARG,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1365435-ferraro-hernan-.htm,56
111,FISH Nate,Male,ISR,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1424133-fish-nate.htm,44
112,FLOWERS Tairia,Female,USA,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1310190-flowers-tairia.htm,43
113,FOIREST Laurent,Male,FRA,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1337892-foirest-laurent.htm,50
114,FORREST Scott,Male,GBR,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1468854-forrest-scott.htm,39
115,FRIDAY Mike,Male,USA,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1317938-friday-mike.htm,52
116,FUENTES Andrea,Female,USA,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1302349-fuentes-andrea.htm,41
117,FUERBRINGER Matthew,Male,USA,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1298691-fuerbringer-matthew.htm,50
118,FUJIKI Mayuko,Female,ESP,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1328014-fujiki-mayuko.htm,48
119,FUJIKI Mayuko,Female,ESP,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1328014-fujiki-mayuko.htm,48
120,FULI Saiasi,Male,FIJ,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1282562-fuli-saiasi.htm,46
121,GADEMAN Pasha,Male,CAN,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1433923-gademan-pasha.htm,36
122,GAIDUKOV Aleksandr,Male,ROC,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1427979-gaidukov-aleksandr.htm,50
123,GARCIA Manuel,Male,DOM,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1469732-garcia-manuel.htm,35
124,GARCIA Nestor,Male,DOM,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1469223-garcia-nestor.htm,58
